"Airport..Name" "Origin.State" "origin_id"
"HAWTHORNE MUNICIPAL ARPT" "California" 471
"ORCAS ISLAND ARPT" "Washington" 472
NULL "New Mexico" 473
"SAWYER INTL" "Michigan" 474
"ARCATA AIRPORT" "California" 475
"ROSECRANS MEMORIAL ARPT" "Missouri" 476
"ADA MUNICIPAL ARPT" "Oklahoma" 477
"CHARLOTTESVILLE-ALBEMARLE ARPT" "Virginia" 478
"PURDUE UNIV ARPT" "Indiana" 479
"SOUTHEAST IOWA REGIONAL ARPT" "Iowa" 480
"NUIQSUT ARPT" "Alaska" 481
"SPRINGFIELD BECKLEY MUNICIPAL" "Ohio" 482
"MARTHAS VINEYARD" "Massachusetts" 483
"YAKUTAT ARPT" "Alaska" 484
"SIOUX GATEWAY ARPT" "Iowa" 485
"BIG PINEY-MARBLETON" "Wyoming" 486
"CAPE GIRARDEAU MUNICIPAL" "Missouri" 487
NULL "Tennessee" 488
"ASHEVILLE REGIONAL ARPT" "North Carolina" 489
"HAMMONTON MUNICIPAL" "New Jersey" 490
"YEAGER ARPT" "West Virginia" 491
"MASSENA INTL" "New York" 492
"MEACHAM FT WORTH" "Texas" 493
"JOHN H BATTEN ARPT" "Wisconsin" 494
"SALISBURY-WICOMICO" "Maryland" 495
"KINSTON REGL JETPORT" "North Carolina" 496
"NORTHERN MAINE REGIONAL" "Maine" 497
"CLERMONT COUNTY ARPT" "Ohio" 498
"SIGONELLA" "N/A" 499
"MT PLEASANT MUNICIPAL ARPT" "Michigan" 500
"GANDER INTL" "Newfoundland and Labrador" 501
"UNIVERSITY PARK ARPT" "Pennsylvania" 502
"NORTH LAS VEGAS" "Nevada" 503
"GREATER BINGHAMTON ARPT" "New York" 504
"ALLEGHENY COUNTY ARPT" "Pennsylvania" 505
"ALPENA COUNTY REG" "Michigan" 506
"RAFAEL HERNANDEZ ARPT" "N/A" 507
"VICTORIA REGIONAL" "Texas" 508
"ONEIDA COUNTY ARPT" "New York" 509
"LIBERAL MUNICIPAL" "Kansas" 510
"CLINTONVILLE MUNICIPAL ARPT" "Wisconsin" 511
"HONG KONG INTL" "N/A" 512
"CYRIL E KING ARPT" "Virgin Islands" 513
"KEARNEY MUNICIPAL" "Nebraska" 514
"SOUTHWEST GEORGIA REGIONAL ARPT" "Georgia" 515
"NORFOLK REGIONAL ARPT" "Nebraska" 516
"SASKATOON/JOHN G. DIEFENBAKER INTL" "Saskatchewan" 517
"DON MUEANG INTL ARPT  (OLD BANGKOK)" "N/A" 518
"PATRICK AIR FORCE BASE" "Florida" 519
"JORGE CHAVEZ INTL" "N/A" 520
"CHICO MUNICIPAL ARPT" "California" 521
"ESSEX COUNTY AIRPORT" "New Jersey" 522
"DANVILLE REGIONAL ARPT" "Virginia" 523
"WATERLOO REGIONAL ARPT" "Iowa" 524
"SULLIVAN COUNTY INTL" "New York" 525
"ROSWELL INTL AIR CENTER" "New Mexico" 526
"COLUMBUS MUNICIPAL ARPT (NE)" "Nebraska" 527
"LEESBURG EXECUTIVE ARPT" "Virginia" 528
"ST. CLOUD REGIONAL" "Minnesota" 529
"RUSH CITY REGIONAL ARPT" "Minnesota" 530
"GILLESPIE FIELD ARPT" "California" 531
"KUNSAN" "N/A" 532
"GALLIA-MEIGS REGIONAL ARPT" "Ohio" 533
"QUINCY REGIONAL ARPT - BALDWIN FLD" "Illinois" 534
"INTL DE CARRASCO" "N/A" 535
"NEW CASTLE COUNTY" "Delaware" 536
"GRAND JUNCTION REGIONAL ARPT" "Colorado" 537
"GUANAJUATO DEL BAJIO INTL" "N/A" 538
"WORCESTER REGIONAL" "Massachusetts" 539
"FORT WORTH ALLIANCE" "Texas" 540
"SOUTHERN ILLINOIS" "Illinois" 541
"KNOX COUNTY ARPT" "Ohio" 542
"REDWOOD FALLS MUNICIPAL ARPT" "Minnesota" 543
"GAYLORD REGIONAL ARPT" "Michigan" 544
"SONTIMER ARPT" "Missouri" 545
"WITTMAN REGIONAL ARPT" "Wisconsin" 546
"PROVINCETOWN MUNICIPAL ARPT" "Massachusetts" 547
"ZEPHYRHILLS MUNICIPAL ARPT" "Florida" 548
"BEAVER COUNTY ARPT" "Pennsylvania" 549
"SAULT STE MARIE MUNICIPAL" "Michigan" 550
